Date,Open,High,Low,Close,Volume
2021-01-26,53.74368544471449,54.41989175764062,52.80162649562428,53.02702713012695,24921600
2021-01-27,52.241016618202316,52.697598665277596,50.97530188529006,51.553253173828125,32419700
2021-01-28,50.97530738793002,52.79585502523157,50.91751313472117,52.6513671875,35900800
2021-01-29,52.009843332600305,52.50688187101696,50.73835206327623,50.8308219909668,31481600
2021-02-01,52.02139923158462,52.74961471557617,51.194928672632216,52.74961471557617,27135500
2021-02-02,52.11964712237358,52.35082851854422,50.576518247768476,50.663211822509766,34426700
2021-02-03,51.350973137762715,52.83630783173478,51.20648530990778,52.264137268066406,34346400
2021-02-04,53.14262242793241,53.67434099666932,51.489681290097224,51.60527420043945,29939700
2021-02-05,52.1312067392086,53.61654143924703,51.75554191278633,53.570308685302734,27114800
2021-02-08,53.73212494241525,54.85335170590397,53.43158784258095,54.333194732666016,28164400
2021-02-09,54.67418297932024,55.03251431294685,53.35645494060356,54.471900939941406,32303400
2021-02-10,54.7088728275241,55.29260047271014,54.54704275768097,54.73198699951172,40318300
2021-02-11,55.17701243141945,55.17701243141945,53.80726623535156,53.80726623535156,19775900
2021-02-12,53.81883435583969,54.40834282617442,53.28711573248429,54.26385498046875,14760700
2021-02-17,55.48910658101765,55.89945148252934,55.015186682568526,55.68560791015625,29262900
2021-02-18,56.2693428125345,56.870412735236776,55.49488572407277,56.29246139526367,33088500
2021-02-19,56.18265053300369,57.13049039979445,55.674054929419505,56.50630187988281,24966600
2021-02-22,55.772299436336965,56.93975910097422,54.3505397933077,55.1076545715332,50160600
2021-02-23,55.82432012133502,56.26356439252653,53.93442110156851,56.03238296508789,35756200
2021-02-24,56.13640734472708,56.76059579768211,55.40241114481364,56.59877014160156,21856100
2021-02-25,57.04379279467507,57.18828062283729,54.91693178775052,55.31571960449219,24471000
2021-02-26,55.801205161156766,56.46584569273088,54.338984527204545,54.627960205078125,42856000
2021-03-01,55.483331239642325,57.40791035027798,55.1134427174649,56.968666076660156,32798000
2021-03-02,56.35025660973281,59.05506910337674,54.87070256514771,58.71985626220703,47565800
2021-03-03,58.951038065243296,60.106940772404926,57.59285326621215,57.99741744995117,41473300
2021-03-04,57.44836286184666,58.656279020357104,56.36181154361819,57.136268615722656,48492500
